Magnitude,UTC Date,UTC Time,Sydney Date,Sydney Time,Latitude,Longitude,Approximate location,Depth (km),Solution finalised,EVENT ID,ORIGIN ID
6.2,2009-04-18,02:03:50,2009-04-18,12:03:50,-28.88,-176.84,"Kermadec Islands, Tonga-Samoa Area. Nearest station COEN.",60.0,FINL,2730758,2147206
5.8,2009-04-17,16:12:00,2009-04-18,02:12:00,-9.12,159.3,"Solomon Islands, Bismark and Solomon Islands. Nearest station COEN.",600.0,FINL,2730756,2147205
5.9,2009-04-17,04:09:57,2009-04-17,14:09:57,-7.47,128.29,"Banda Sea, Sunda Arc. Nearest station MTN.",106.0,FINL,2730754,2147203
6.1,2009-04-16,00:43:31,2009-04-16,10:43:31,-6.57,154.16,Solomon Islands. Nearest station COEN.,100.0,FINL,2730799,2147196
6.3,2009-04-15,20:01:35,2009-04-16,06:01:35,-3.21,100.49,"Southern Sumatera, Sunda Arc. Nearest station MTN.",20.0,FINL,2730798,2147193
5.8,2009-04-14,12:48:57,2009-04-14,22:48:57,-30.86,-176.58,"Kermadec Islands Region, Kermadec-Tonga-Samoa area. Nearest station NIUE.",60.0,FINL,2730792,2147185
5.9,2009-04-04,11:07:05,2009-04-04,22:07:05,-22.25,-174.25,Tonga Islands Region. Nearest station COEN.,0.0,FINL,2730668,2147134
6.2,2009-04-04,05:31:56,2009-04-04,16:31:56,5.05,127.26,"Philippine Islands Region, Philippines. Nearest station MTN.",61.0,FINL,2730664,2147130
6.3,2009-04-01,03:54:59,2009-04-01,14:54:59,-3.46,143.94,Near North Coast of Papua New Guinea. Nearest station COEN.,0.0,FINL,2698281,2147122
5.9,2009-03-28,17:59:29,2009-03-29,04:59:29,-2.96,139.63,"Near North Coast of West Irian, New Guinea. Nearest station KAKA.",64.0,FINL,2698270,2147111
5.8,2009-03-24,23:28:29,2009-03-25,10:28:29,-5.177,152.001,New Britain Region. Nearest station EIDS.,55.0,FINL,2698259,2147100
5.8,2009-03-20,12:26:02,2009-03-20,23:26:02,-21.38,-179.11,Fiji Islands Region. Nearest station NIUE.,622.0,FINL,2698241,2147082
7.6,2009-03-19,18:17:34,2009-03-20,05:17:34,-22.96,-174.33,Tonga Islands Region.,29.0,FINL,2698237,2147078
6.3,2009-03-16,14:15:51,2009-03-17,01:15:51,3.63,126.89,"Talaud Islands, Borneo-Celebes. Nearest station KAKA.",0.0,FINL,2698213,2147052
5.8,2009-03-10,17:42:12,2009-03-11,04:42:12,-1.94,139.22,"West Irian Region, New Guinea. Nearest station MTN.",10.0,FINL,2698188,2147025
6.0,2009-03-05,19:33:16,2009-03-06,06:33:16,-17.6,-178.81,Fiji Islands Region. Nearest station NIUE.,564.0,FINL,2698165,2147002
5.9,2009-03-02,00:03:40,2009-03-02,11:03:40,-1.17,119.91,"Sulawesi, Borneo - Celebes. Nearest station MTN.",9.0,FINL,2698135,2146969
5.9,2009-02-24,12:39:45,2009-02-24,23:39:45,-22.26,170.61,Loyalty Islands Region. Nearest station EIDS.,66.0,FINL,2698111,2146944
5.8,2009-02-22,17:45:26,2009-02-23,04:45:26,3.568,126.658,"Talaud Islands, Indonesia. Nearest station MTN.",64.0,FINL,2698080,2146913
7.2,2009-02-18,21:53:50,2009-02-19,08:53:50,-27.45,-176.37,Kermadec Islands Region. Nearest station EIDS.,64.0,FINL,2698058,2146891
6.4,2009-02-17,03:30:49,2009-02-17,14:30:49,-30.96,-177.74,"Kermadec Islands, Kermadec - Tonga - Samoa Area. Nearest station EIDS.",5.0,FINL,2698041,2146874
5.8,2009-02-14,20:29:19,2009-02-15,07:29:19,-5.67,151.61,"New Britain Region, Bismarck and Solomon Islands. Nearest stations KAKA.",100.0,FINL,2698015,2146848
5.9,2009-02-12,18:54:25,2009-02-13,05:54:25,-31.11,-177.42,Kermadec Islands. Nearest station NIUE.,20.0,FINL,2697998,2146831
6.3,2009-02-12,13:15:10,2009-02-13,00:15:10,3.96,126.77,"Talaud Islands, Indonesia. Nearest station MTN.",59.0,FINL,2697996,2146829
5.9,2009-02-12,08:30:17,2009-02-12,19:30:17,3.82,126.9,"Talaud Islands, Indonesia. Nearest station MTN.",26.0,FINL,2697995,2146828
5.9,2009-02-12,03:49:44,2009-02-12,14:49:44,3.9,126.8,"Talaud Islands, Indonesia. Nearest station MTN.",81.0,FINL,2697991,2146824
5.8,2009-02-12,01:25:28,2009-02-12,12:25:28,4.07,126.8,"Talaud Islands, Indonesia. Nearest station MTN.",35.0,FINL,2697982,2146815
5.9,2009-02-11,22:14:30,2009-02-12,09:14:30,3.6,127.0,"Talaud Islands, Indonesia. Nearest station MTN.",64.0,FINL,2697978,2146811
5.8,2009-02-11,18:25:13,2009-02-12,05:25:13,3.94,126.91,"Talaud Islands, Indonesia. Nearest station MTN.",58.0,FINL,2697974,2146807
7.2,2009-02-11,17:34:54,2009-02-12,04:34:54,3.768,126.704,"Talaud Islands, Borneo - Celebes.",55.0,FINL,2697969,2146802
5.8,2009-02-11,09:31:06,2009-02-11,20:31:06,-19.94,-177.25,Fiji Islands Region. Nearest station NIUE.,25.0,FINL,2697964,2146797
5.8,2009-01-28,07:53:31,2009-01-28,18:53:31,-9.11,124.23,"Timor, Sunda Arc. Nearest station MTN.",2.0,FINL,2697815,2146638
5.8,2009-01-28,00:01:06,2009-01-28,11:01:06,-0.43,97.54,"Northern Sumatera, Andaman Islands. Nearest station KAKA.",0.0,FINL,2697813,2146636
5.8,2009-01-26,11:54:41,2009-01-26,22:54:41,-17.845,-178.389,Fiji Islands Region. Nearest station NIUE.,603.0,FINL,2697809,2146632
5.9,2009-01-24,09:01:55,2009-01-24,20:01:55,-19.5,-178.87,Fiji Islands Region. Nearest station ARMA.,648.0,FINL,2697801,2146623
6.1,2009-01-24,01:28:40,2009-01-24,12:28:40,-28.35,-175.51,Kermadec Islands Region. Nearest station NIUE.,61.0,FINL,2697800,2146622
6.1,2009-01-22,20:16:31,2009-01-23,07:16:31,-7.56,128.53,"Banda Sea, Sunda Arc. Nearest station MTN.",100.0,FINL,2697794,2146616
6.2,2009-01-22,13:40:29,2009-01-23,00:40:29,-6.15,148.56,"New Britain Region, Bismarck and Solomon Islands. Nearest station KNA.",55.0,FINL,2697793,2146615
6.3,2009-01-21,17:08:40,2009-01-22,04:08:40,-22.64,171.1,Loyalty Islands Region. Nearest station CAN.,1.0,FINL,2697789,2146611
6.8,2009-01-19,03:35:18,2009-01-19,14:35:18,-22.68,170.88,Southeast of the Loyalty Islands. Nearest station KNA.,35.0,FINL,2697777,2146599
6.4,2009-01-18,14:11:44,2009-01-19,01:11:44,-30.37,-176.65,"Kermadec Islands, New Zealand. Nearest station NIUE.",35.0,FINL,2697775,2146597
5.8,2009-01-15,16:14:59,2009-01-16,03:14:59,-10.26,161.55,Solomon Islands. Nearest station EIDS.,102.0,FINL,2697763,2146585
6.8,2009-01-15,07:27:20,2009-01-15,18:27:20,-22.32,170.5,Vanuatu Islands Region. Nearest station EIDS.,7.0,FINL,2697759,2146581
6.0,2009-01-06,22:48:27,2009-01-07,09:48:27,-0.692,133.543,"Near North Coast of Papua, Indonesia. Nearest station COEN.",14.0,FINL,2697726,2146548
6.1,2009-01-04,07:14:02,2009-01-04,18:14:02,-0.49,132.5,"West Irian Region, New Guinea. Nearest station MTN.",35.0,FINL,2697714,2146536
7.3,2009-01-03,22:33:42,2009-01-04,09:33:42,-0.695,133.279,"Near North Coast of Papua, Indonesia.",35.0,FINL,2697712,2146534
7.7,2009-01-03,19:43:49,2009-01-04,06:43:49,-0.51,132.86,"West Irian Region, New Guinea.",0.0,FINL,2697711,2146533
5.8,2008-12-31,11:39:55,2008-12-31,22:39:55,5.0,127.51,"Talaud Islands, Borneo-Celebes. Nearest station MTN.",60.0,FINL,2697702,2146524
6.1,2008-12-30,19:49:57,2008-12-31,06:49:57,-4.21,101.32,"Southern Sumatera, Sunda Arc. Nearest station MTN.",43.0,FINL,2697701,2146523
6.3,2008-12-25,03:20:29,2008-12-25,14:20:29,5.68,125.64,"Mindanao, Philippine Islands. Nearest station MTN.",206.0,FINL,2697693,2146515
6.3,2008-12-24,09:11:35,2008-12-24,20:11:35,-16.94,-172.28,Samoa Islands Region. Nearest station EIDS.,0.0,FINL,2697690,2146512
6.2,2008-12-23,11:15:22,2008-12-23,22:15:22,-6.41,155.03,Solomon Islands. Nearest station COEN.,66.0,FINL,2697688,2146510
5.8,2008-12-17,10:56:02,2008-12-17,21:56:02,-17.9,-178.05,Fiji Islands Area. Nearest station KAKA.,593.0,FINL,2697666,2146488
6.2,2008-12-13,08:45:39,2008-12-13,19:45:39,-48.79,123.36,"Antarctic Ridge, South of Australia. Nearest station RKGY.",18.0,FINL,2697659,2146481
6.0,2008-12-11,21:40:58,2008-12-12,08:40:58,-0.08,123.55,"Minahassa Peninsula, Borneo-Celebes. Nearest station MTN.",160.0,FINL,2697656,2146478
5.8,2008-12-11,17:06:06,2008-12-12,04:06:06,-3.68,100.64,"Southern Sumatera, Sunda Arc. Nearest station FITZ.",11.0,FINL,2697654,2146476
5.8,2008-12-11,16:29:08,2008-12-12,03:29:08,-18.98,-175.18,Tonga Islands. Nearest station NIUE.,225.0,FINL,2697653,2146475
6.1,2008-12-10,13:15:36,2008-12-11,00:15:36,-12.31,166.55,"Santa Cruz Islands, New Hebrides Islands. Nearest station NFK.",72.0,FINL,2697652,2146474
5.9,2008-12-09,17:28:55,2008-12-10,04:28:55,-15.89,168.45,"Vanuatu Islands, New Hebrides Islands. Nearest station NFK.",203.0,FINL,2697649,2146470
6.6,2008-12-09,06:24:02,2008-12-09,17:24:02,-31.18,-176.59,Kermadec Islands region. Nearest station NIUE.,28.0,FINL,2697644,2146465
6.5,2008-12-08,18:39:09,2008-12-09,05:39:09,-52.91,106.77,"Southeast Indian Rise, Indian Ocean. Nearest station RKGY.",0.0,FINL,2697639,2146460
6.4,2008-12-06,10:55:26,2008-12-06,21:55:26,-7.43,124.73,"Banda Sea, Sunda Arc. Nearest station MTN.",393.0,FINL,2697632,2146452
6.5,2008-12-02,18:39:08,2008-12-03,05:39:08,-52.91,106.77,Southeast Indian Ridge. Nearest station RKGY.,0.0,FINL,2697638,2146459
6.1,2008-11-29,05:59:15,2008-11-29,16:59:15,-18.78,-177.3,Fiji Islands Area. Nearest station KAKA.,410.0,FINL,2697617,2146435
5.9,2008-11-28,08:50:46,2008-11-28,19:50:46,-4.84,101.56,"Southern Sumatra, Sunda Arc. Nearest station KAKA.",28.0,FINL,2697615,2146433
5.8,2008-11-27,17:31:24,2008-11-28,04:31:24,-17.59,167.98,Vanuatu Islands Region. Nearest station LHI.,0.0,FINL,2697613,2146431
5.8,2008-11-26,04:01:58,2008-11-26,15:01:58,-20.1,169.89,Vanuatu Islands region. Nearest station RMQ.,170.0,FINL,2697611,2146429
5.8,2008-11-22,17:22:37,2008-11-23,04:22:37,-22.49,171.62,Loyalty Islands Region. Nearest station EIDS.,100.0,FINL,2697600,2146418
6.6,2008-11-22,16:01:38,2008-11-23,03:01:38,-22.46,171.4,Loyalty Islands Region. Nearest station NFK.,45.0,FINL,2697598,2146416
6.5,2008-11-22,16:00:58,2008-11-23,03:00:58,-4.42,101.07,"Souther Sumatra, Sunda Arc. Nearest station FITZ.",0.0,FINL,2697597,2146415
6.1,2008-11-21,07:05:30,2008-11-21,18:05:30,-8.76,159.9,"75km North of Honiara, Solomon Islands. Nearest station COEN.",90.0,FINL,2697596,2146414
5.8,2008-11-16,17:34:40,2008-11-17,04:34:40,1.27,122.08,"Minahassa Peninsula, Borneo - Celebes. Nearest station MTN.",48.0,FINL,2697579,2146396
7.4,2008-11-16,17:02:30,2008-11-17,04:02:30,1.21,122.11,"Minahassa Peninsula, Borneo - Celebes.",8.0,FINL,2697578,2146395
5.9,2008-11-14,22:52:53,2008-11-15,09:52:53,-21.5,171.07,Loyalty Islands. Nearest station COEN.,100.0,FINL,2697575,2146392
6.0,2008-11-08,07:49:56,2008-11-08,18:49:56,-15.15,-174.03,Kermadec-Tonga-Samoa Area. Nearest station EIDS.,100.0,FINL,2697565,2146382
6.5,2008-11-07,16:04:29,2008-11-08,03:04:29,-6.98,129.54,"Banda Sea, Sunda Arc. Nearest station COEN.",100.0,FINL,2697564,2146381
6.7,2008-11-07,07:19:43,2008-11-07,18:19:43,-14.99,167.94,Vanuatu Islands. Nearest station EIDS.,60.0,FINL,2697559,2146375
6.0,2008-11-06,09:11:01,2008-11-06,20:11:01,-29.82,-176.14,Kermadec Islands Region. Nearest station NFK.,30.0,FINL,2697557,2146373
5.9,2008-11-04,18:35:45,2008-11-05,05:35:45,-16.99,168.44,Vanuatu Islands. Nearest station NFK.,200.0,FINL,2697554,2146370
6.0,2008-11-03,19:22:05,2008-11-04,06:22:05,1.52,97.5,Northern Sumatera. Nearest station EIDS.,60.0,FINL,2697551,2146367
5.9,2008-11-01,01:34:29,2008-11-01,12:34:29,-6.98,129.03,"Banda Sea, Sunda Arc. Nearest station KAKA.",10.0,FINL,2697550,2146366
5.8,2008-11-01,01:13:11,2008-11-01,12:13:11,-3.31,149.04,Bismarck Sea. New Guinea. Nearest station KAKA.,30.0,FINL,2697549,2146365
5.8,2008-10-28,16:00:04,2008-10-29,03:00:04,-3.35,146.03,"Bismarck Sea, New Guinea. Nearest station COEN.",10.0,FINL,2697543,2146359
6.2,2008-10-23,10:04:33,2008-10-23,21:04:33,-2.37,146.03,Admiralty Islands region. Nearest station COEN.,6.0,FINL,2697538,2146354
6.5,2008-10-22,12:55:54,2008-10-22,23:55:54,-18.26,-175.29,"Tonga Islands, Kermadec-Tonga-Samoa Region. Nearest station QIS.",200.0,FINL,2697534,2146350
5.8,2008-10-21,13:00:44,2008-10-22,00:00:44,-7.49,127.53,"Banda Sea, Sunda Arc. Nearest station KAKA.",100.0,FINL,2697533,2146349
6.0,2008-10-20,04:54:20,2008-10-20,15:54:20,0.0,120.5,"Sulawesi, Indonesia. Nearest station XMIS.",100.0,FINL,2697532,2146348
6.9,2008-10-19,05:10:32,2008-10-19,16:10:32,-21.59,-173.86,Tonga. Nearest station ARMA.,10.0,FINL,2697530,2146346
5.9,2008-10-18,00:54:36,2008-10-18,11:54:36,-6.82,147.52,East Papua New Guinea. Nearest station COEN.,54.0,FINL,2697528,2146344
6.0,2008-10-09,17:50:14,2008-10-10,04:50:14,-21.22,-174.98,Tonga Islands Area. Nearest station HNR.,100.0,FINL,2697516,2146332
6.3,2008-10-05,09:12:58,2008-10-05,20:12:58,-30.31,-176.08,Kermadec Islands Region. Nearest station ARMA.,30.0,FINL,2697508,2146323
6.1,2008-10-02,23:28:16,2008-10-03,09:28:16,-23.0,170.0,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",60.0,FINL,2697506,2146321
7.1,2008-09-29,15:19:28,2008-09-30,01:19:28,-29.98,-177.35,"Kerdamec Islands, Tonga - Samoa region. Nearest station MEEK.",10.0,FINL,2697497,2146312
6.1,2008-09-16,11:15:47,2008-09-16,21:15:47,-8.99,126.53,"Timor, Sunda Arc. Nearest station CTAO.",100.0,FINL,2697478,2146293
5.9,2008-09-14,00:00:09,2008-09-14,10:00:09,-8.99,126.53,"Timor, Sunda Arc. Nearest station MBWA.",30.0,FINL,2697475,2146290
5.8,2008-09-13,00:04:05,2008-09-13,10:04:05,-3.99,129.01,"Ceram, Borneo - Celebes. Nearest station MTN.",100.0,FINL,2697472,2146287
5.8,2008-09-12,16:44:26,2008-09-13,02:44:26,-21.5,171.07,Loyalty Islands region. Nearest station EIDS.,100.0,FINL,2697470,2146285
6.7,2008-09-11,00:00:05,2008-09-11,10:00:05,1.5,127.5,Kepulauan Talaud Indonesia. Nearest station KAKA.,100.0,FINL,2697479,2146294
6.7,2008-09-10,23:59:55,2008-09-11,09:59:55,2.0,127.5,"Molucca Passage, Borneo - Celebes. Nearest station KAKA.",100.0,FINL,2697466,2146281
6.1,2008-09-09,12:22:55,2008-09-09,22:22:55,-9.54,158.01,Solomon Islands Region. Nearest station EIDS.,30.0,FINL,2697462,2146276
6.9,2008-09-08,18:52:07,2008-09-09,04:52:07,-13.47,166.94,Vanuatu Islands region. Nearest station EIDS.,115.0,FINL,2697459,2146273
6.3,2008-09-08,03:03:12,2008-09-08,13:03:12,-20.0,169.47,Vanuatu Islands. Nearest station LHI.,42.0,FINL,2697458,2146272
6.2,2008-09-01,04:00:33,2008-09-01,14:00:33,-25.32,-176.15,South of Fiji Islands. Nearest station LHI.,200.0,FINL,2697448,2146262
5.9,2008-09-01,01:21:40,2008-09-01,11:21:40,-39.32,177.06,"Off E Coast of N Island, New Zealand. Nearest station MCQ.",60.0,FINL,2697446,2146260
6.3,2008-08-30,06:54:03,2008-08-30,16:54:03,-6.24,147.62,East Papua New Guinea Region. Nearest station COEN.,30.0,FINL,2697443,2146257
5.8,2008-08-26,03:07:34,2008-08-26,13:07:34,-6.35,104.4,"Sunda Strait, Indonesia. Nearest station FITZ.",57.0,FINL,2697436,2146248
5.8,2008-08-25,02:43:17,2008-08-25,12:43:17,9.31,125.44,"Mindanao, Philippine Islands. Nearest station MTN.",66.0,FINL,2697432,2146244
6.2,2008-08-12,05:26:00,2008-08-12,15:26:00,-11.46,166.47,"Santa Cruz Islands, New Hebrides Islands. Nearest station EIDS.",30.0,FINL,2697423,2146235
6.0,2008-08-09,16:36:31,2008-08-10,02:36:31,-61.6,154.43,"Balleny Islands Region, Macquarie Loop. Nearest station TOO.",10.0,FINL,2697417,2146229
6.5,2008-08-09,06:01:40,2008-08-09,16:01:40,-61.6,154.43,"Balleny Islands Region, Macquarie Loop. Nearest station TOO.",10.0,FINL,2697416,2146227
5.8,2008-08-08,06:37:42,2008-08-08,16:37:42,-3.85,100.96,"Southern Sumatra, Sunda Arc. Nearest station KAKA.",30.0,FINL,2697415,2146226
6.1,2008-08-06,22:41:06,2008-08-07,08:41:06,-8.48,117.45,"Sumbawa Island Region, Sunda Arc. Nearest station KAKA.",30.0,FINL,2697412,2146223
6.2,2008-08-04,20:45:17,2008-08-05,06:45:17,-5.98,130.03,Banda Sea. Nearest station FITZ.,200.0,FINL,2697407,2146218
5.9,2008-07-29,18:54:48,2008-07-30,04:54:48,-3.26,152.54,"New Ireland Region, Bismark and Solomon Islands. Nearest station COEN.",100.0,FINL,2697397,2146208
5.9,2008-07-28,21:40:41,2008-07-29,07:40:41,-10.38,163.98,Solomon Islands. Nearest station EIDS.,10.0,FINL,2697394,2146205
5.9,2008-07-28,21:37:36,2008-07-29,07:37:36,-10.36,163.48,Solomon Islands. Nearest station EIDS.,60.0,FINL,2697393,2146204
5.9,2008-07-25,05:01:28,2008-07-25,15:01:28,-18.09,178.99,Fiji Islands Region. Nearest station EIDS.,600.0,FINL,2697383,2146194
6.3,2008-07-19,22:39:59,2008-07-20,08:39:59,-17.47,-177.46,Fiji Islands Region. Nearest station LHI.,450.0,FINL,2697367,2146178
6.2,2008-07-19,11:01:33,2008-07-19,21:01:33,-11.38,163.95,Santa Cruz Islands. Nearest station EIDS.,10.0,FINL,2697365,2146176
6.8,2008-07-19,09:27:05,2008-07-19,19:27:05,-10.9,164.47,Santa Cruz Islands. Nearest station EIDS.,30.0,FINL,2697363,2146174
5.8,2008-06-27,13:07:52,2008-06-27,23:07:52,9.17,93.27,Nicobar Islands Region. Nearest station KAKA.,300.0,FINL,2697308,2146119
6.2,2008-06-26,21:19:20,2008-06-27,07:19:20,-20.49,-172.91,"Tonga  Islands, Tonga-Samoa Area. Nearest station OUZ.",60.0,FINL,2697306,2146117
5.8,2008-06-25,15:41:36,2008-06-26,01:41:36,-5.68,151.57,New Britain region. Nearest station COEN.,104.0,FINL,2697304,2146115
5.9,2008-06-22,07:22:36,2008-06-22,17:22:36,-9.96,156.98,Solomon Islands Region. Nearest station KAKA.,200.0,FINL,2697295,2146106
5.9,2008-06-15,01:13:10,2008-06-15,11:13:10,-17.63,-179.55,Fiji Islands Area. Nearest station CAN.,600.0,FINL,2697282,2146093
6.0,2008-06-10,04:13:49,2008-06-10,14:13:49,-18.48,167.37,Vanuatu Island Region. Nearest station EIDS.,100.0,FINL,2697265,2146075
5.9,2008-06-07,22:03:27,2008-06-08,08:03:27,-8.5,120.48,"Flores Island Region, Sunda Arc. Nearest station KAKA.",60.0,FINL,2697263,2146073
6.0,2008-06-06,13:42:47,2008-06-06,23:42:47,-7.49,127.53,Banda Sea. Nearest station MTN.,100.0,FINL,2697261,2146071
6.4,2008-06-03,22:04:37,2008-06-04,08:04:37,-8.5,120.5,"Flores Island region, Sunda Arc. Nearest station FITZ.",60.0,FINL,2697249,2146059
6.3,2008-06-03,21:03:54,2008-06-04,07:03:54,-8.5,120.5,"Flores Island Region, Sunda Arc. Nearest station  FITZ.",30.0,FINL,2697248,2146058
6.2,2008-06-03,17:31:33,2008-06-04,03:31:33,-8.0,120.48,"Flores Island Region, Sunda Arc. Nearest station KAKA.",10.0,FINL,2697247,2146057
6.3,2008-06-03,16:20:45,2008-06-04,02:20:45,-10.29,161.98,Solomon Islands Region. Nearest station EIDS.,60.0,FINL,2697246,2146056
6.4,2008-06-01,14:31:03,2008-06-02,00:31:03,-59.51,149.17,W of Macquarie Island. Nearest station MOO.,10.0,FINL,2697242,2146052
5.9,2008-05-24,13:24:14,2008-05-24,23:24:14,-7.4,156.14,Solomon Islands. Nearest station COEN.,100.0,FINL,2697226,2146034
5.8,2008-05-19,15:19:20,2008-05-20,01:19:20,-5.77,147.1,Eastern Papua New Guinea. Nearest station COEN.,100.0,FINL,2697213,2146021
6.1,2008-05-19,14:26:51,2008-05-20,00:26:51,1.51,99.5,W coast of Northern Sumatra. Nearest station KAKA.,30.0,FINL,2697212,2146020
5.9,2008-05-18,12:17:25,2008-05-18,22:17:25,-3.4,101.0,"Southern Sumatra, Sunda Arc. Nearest station GIRL.",60.0,FINL,2697210,2146018
5.8,2008-05-13,10:29:28,2008-05-13,20:29:28,4.4,95.46,"Northern Sumatra, Indonesia. Nearest station FITZ.",100.0,FINL,2697204,2146012
5.8,2008-04-29,19:10:04,2008-04-30,05:10:04,-5.99,127.52,"Banda Sea, Sunda Arc. Nearest station MTN.",450.0,FINL,2685814,2145990
6.4,2008-04-28,20:26:55,2008-04-29,06:26:55,-20.0,168.94,"Loyalty Islands, New Hebrides Islands. Nearest station LHI.",60.0,FINL,2685813,2145989
6.8,2008-04-28,18:33:32,2008-04-29,04:33:32,-20.0,168.94,Vanuatu Islands.,100.0,FINL,2685812,2145988
6.1,2008-04-26,23:34:56,2008-04-27,09:34:56,-48.98,164.05,"Off West coast of South Island, New Zealand. Nearest station CNB.",60.0,FINL,2685808,2145983
5.9,2008-04-20,13:01:25,2008-04-20,23:01:25,-8.0,125.52,"Timor, Sunda Arc. Nearest station MTN.",10.0,FINL,2685799,2145969
6.0,2008-04-19,10:21:14,2008-04-19,20:21:14,-8.0,125.52,"Timor, Sunda Arc. Nearest station MTN.",10.0,FINL,2685796,2145968
6.5,2008-04-19,05:58:51,2008-04-19,15:58:51,-20.35,168.94,Loyalty Islands Region. Nearest station MTSU.,100.0,FINL,2685795,2145967
6.2,2008-04-19,03:12:26,2008-04-19,13:12:26,-8.0,125.52,"Timor, Sunda Arc. Nearest station KAKA.",10.0,FINL,2685794,2145966
6.3,2008-04-18,20:39:08,2008-04-19,06:39:08,-17.43,-178.51,Fiji Islands Region. Nearest station MTSU.,600.0,FINL,2685901,2145965
7.4,2008-04-12,00:30:16,2008-04-12,10:30:16,-55.16,159.04,Macquarie Island. Nearest station MILA.,10.0,FINL,2685883,2145944
6.1,2008-04-11,17:45:09,2008-04-12,03:45:09,-20.35,168.94,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",60.0,FINL,2685881,2145942
6.1,2008-04-11,16:36:01,2008-04-12,02:36:01,-20.35,168.94,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",60.0,FINL,2685879,2145940
5.9,2008-04-10,01:10:10,2008-04-10,11:10:10,-20.35,168.94,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",60.0,FINL,2685873,2145936
6.4,2008-04-09,14:47:47,2008-04-10,00:47:47,-19.9,169.0,"Vanuatu Islands, New Hebrides Islands. Nearest station EIDS.",10.0,FINL,2685872,2145934
7.3,2008-04-09,12:46:16,2008-04-09,22:46:16,-20.3,169.0,"Loyalty Islands, New Hebrides Islands.",35.0,FINL,2685869,2145931
6.3,2008-04-09,11:23:47,2008-04-09,21:23:47,-20.3,169.0,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",30.0,FINL,2685868,2145930
6.4,2008-04-09,11:13:24,2008-04-09,21:13:24,-20.3,169.0,"Loyalty Islands, New Hebrides Islands. Nearest station EIDS.",35.0,FINL,2685867,2145929
5.8,2008-04-07,22:54:43,2008-04-08,08:54:43,-19.85,168.94,"Vanuatu Islands, New Hebrides Islands. Nearest station EIDS.",100.0,FINL,1098722,2145920
5.8,2008-04-02,19:10:22,2008-04-03,06:10:22,-6.98,129.03,"580km North of Darwin, Banda Sea, Sunda Arc. Nearest station KAKA.",150.0,FINL,1098266,2145911
5.9,2008-04-02,08:48:50,2008-04-02,19:48:50,-4.37,102.95,"Southern Sumatera, Indonesia. Nearest station FITZ.",10.0,FINL,1098264,2145909
6.3,2008-03-29,17:30:54,2008-03-30,04:30:54,2.96,95.48,Off W Coast of Northern Sumatra. Nearest station XMIS.,30.0,FINL,1098253,2145899
6.0,2008-03-20,14:10:47,2008-03-21,01:10:47,6.0,127.01,"Philippine Islands Region, Philippines. Nearest station KAKA.",100.0,FINL,1098230,2145872
6.2,2008-03-18,08:22:46,2008-03-18,19:22:46,-28.7,-176.9,"Kermadec Islands Region, Kermadec-Tonga-Samoa Area. Nearest station ARMA.",30.0,FINL,1098323,2145867
6.0,2008-03-15,14:43:24,2008-03-16,01:43:24,2.96,94.48,"Off W Coast of Northern Sumatra, Indonesia. Nearest station MBWA.",10.0,FINL,1098318,2145863
6.5,2008-03-12,11:23:43,2008-03-12,22:23:43,-16.36,167.41,"Vanuatu Islands, New Hebrides Islands. Nearest station EIDS.",60.0,FINL,1098314,2145859
6.3,2008-03-03,02:37:31,2008-03-03,13:37:31,-1.89,99.99,"Southern Sumatra, Sunda Arc. Nearest station KAKA.",60.0,FINL,1098292,2145834
6.2,2008-02-26,18:18:31,2008-02-27,05:18:31,-3.8,101.0,"Southern Sumatra, Sunda Arc. Nearest station MBWA.",30.0,FINL,1098286,2145828
6.7,2008-02-25,21:02:16,2008-02-26,08:02:16,-2.35,99.52,"Southern Sumatra, Sunda Arc. Nearest station FITZ.",19.0,FINL,1098285,2145826
6.4,2008-02-25,18:06:02,2008-02-26,05:06:02,-2.34,99.97,"Southern Sumatra, Sunda Arc. Nearest station FITZ.",10.0,FINL,1098284,2145825
6.9,2008-02-25,08:36:31,2008-02-25,19:36:31,-2.4,100.05,"Southern Sumatra, Sunda Arc.",10.0,FINL,1098282,2145823
6.3,2008-02-24,14:46:20,2008-02-25,01:46:20,-2.38,99.98,"Southern Sumatra, Sunda Arc. Nearest station FITZ.",10.0,FINL,1098279,2145820
5.9,2008-02-21,23:55:33,2008-02-22,10:55:33,-2.38,99.48,"Southern Sumatra, Indonesia. Nearest station KAKA.",10.0,FINL,1098273,2145814
7.2,2008-02-20,08:08:31,2008-02-20,19:08:31,2.96,95.98,"Off W Coast of Sumatra, Indonesia. Nearest station XMIS.",30.0,FINL,1098375,2145810
6.4,2008-02-13,19:58:45,2008-02-14,06:58:45,-8.48,128.55,"Timor Sea, Sunda ARC. Nearest station KAKA.",10.0,FINL,1098355,2145789
5.8,2008-02-01,12:10:07,2008-02-01,23:10:07,-21.36,-179.24,Fiji Islands Region. Nearest station NIUE.,605.0,FINL,1098329,2145727
